frame_number,timestamp_ms,landmark_name,x,y,z
138,117676444,pose_RIGHT_WRIST,-0.11563,0.93102,-0.38614
138,117676444,pose_LEFT_PINKY,0.42507,0.78074,-0.12401
138,117676444,pose_RIGHT_PINKY,-0.11712,1.00236,-0.38783
138,117676444,pose_LEFT_INDEX,0.42787,0.78202,-0.17886
138,117676444,pose_RIGHT_INDEX,-0.09739,0.99383,-0.438
138,117676444,pose_LEFT_THUMB,0.40069,0.78358,-0.12975
138,117676444,pose_RIGHT_THUMB,-0.09165,0.96735,-0.41765
138,117676444,pose_LEFT_HIP,0.06321,0.95082,-0.05882
138,117676444,pose_RIGHT_HIP,-0.0912,0.97236,0.0601
138,117676444,pose_LEFT_KNEE,0.07731,1.34715,0.02398
138,117676444,pose_RIGHT_KNEE,-0.06422,1.34441,0.13399
138,117676444,pose_LEFT_ANKLE,0.09698,1.70025,0.4003
138,117676444,pose_RIGHT_ANKLE,-0.03632,1.69161,0.44483
138,117676444,pose_LEFT_HEEL,0.10268,1.75262,0.42078
138,117676444,pose_RIGHT_HEEL,-0.0337,1.7381,0.46694
138,117676444,pose_LEFT_FOOT_INDEX,0.09022,1.79989,0.12458
138,117676444,pose_RIGHT_FOOT_INDEX,-0.02078,1.79244,0.13041
139,117676578,pose_LEFT_SHOULDER,0.0783,0.42079,-0.1149
139,117676578,pose_RIGHT_SHOULDER,-0.15085,0.451,-0.15536
139,117676578,pose_LEFT_ELBOW,0.21769,0.57406,-0.00315
139,117676578,pose_RIGHT_ELBOW,-0.12568,0.71985,-0.19489
139,117676578,pose_LEFT_WRIST,0.38698,0.68316,-0.09726
139,117676578,pose_RIGHT_WRIST,-0.09799,0.92295,-0.38437
139,117676578,pose_LEFT_PINKY,0.44052,0.7056,-0.11374
139,117676578,pose_RIGHT_PINKY,-0.08609,0.99783,-0.40669
139,117676578,pose_LEFT_INDEX,0.44233,0.70541,-0.17748
139,117676578,pose_RIGHT_INDEX,-0.06865,0.98713,-0.47018
139,117676578,pose_LEFT_THUMB,0.41859,0.70758,-0.12652
139,117676578,pose_RIGHT_THUMB,-0.06645,0.95966,-0.41415
139,117676578,pose_LEFT_HIP,0.05172,0.93667,-0.02332
139,117676578,pose_RIGHT_HIP,-0.09211,0.96536,0.02455
139,117676578,pose_LEFT_KNEE,0.06682,1.33277,0.08081
139,117676578,pose_RIGHT_KNEE,-0.07558,1.33709,0.0741
139,117676578,pose_LEFT_ANKLE,0.08013,1.67962,0.41858
139,117676578,pose_RIGHT_ANKLE,-0.05676,1.67578,0.31565
139,117676578,pose_LEFT_HEEL,0.08195,1.72745,0.43646
139,117676578,pose_RIGHT_HEEL,-0.05502,1.71881,0.3308
139,117676578,pose_LEFT_FOOT_INDEX,0.07652,1.78698,0.15124
139,117676578,pose_RIGHT_FOOT_INDEX,-0.03657,1.78543,0.01517
141,117676644,pose_LEFT_SHOULDER,0.08068,0.42086,-0.11394
141,117676644,pose_RIGHT_SHOULDER,-0.14515,0.45198,-0.15395
141,117676644,pose_LEFT_ELBOW,0.21947,0.56375,-0.03243
141,117676644,pose_RIGHT_ELBOW,-0.12046,0.7201,-0.16838
141,117676644,pose_LEFT_WRIST,0.39443,0.63834,-0.12364
141,117676644,pose_RIGHT_WRIST,-0.09114,0.91884,-0.26907
141,117676644,pose_LEFT_PINKY,0.44897,0.65568,-0.13542
141,117676644,pose_RIGHT_PINKY,-0.08332,0.9937,-0.29629
141,117676644,pose_LEFT_INDEX,0.45034,0.64063,-0.21634
141,117676644,pose_RIGHT_INDEX,-0.06687,0.97982,-0.36782
141,117676644,pose_LEFT_THUMB,0.42793,0.64674,-0.15479
141,117676644,pose_RIGHT_THUMB,-0.06389,0.95194,-0.30299
141,117676644,pose_LEFT_HIP,0.05757,0.92564,-0.02322
141,117676644,pose_RIGHT_HIP,-0.08472,0.95707,0.02444
141,117676644,pose_LEFT_KNEE,0.07087,1.31648,0.09967
141,117676644,pose_RIGHT_KNEE,-0.07117,1.32428,0.08269
141,117676644,pose_LEFT_ANKLE,0.08178,1.65802,0.46614
141,117676644,pose_RIGHT_ANKLE,-0.05497,1.65594,0.3623
141,117676644,pose_LEFT_HEEL,0.0828,1.70367,0.48739
141,117676644,pose_RIGHT_HEEL,-0.05259,1.69668,0.38067
141,117676644,pose_LEFT_FOOT_INDEX,0.07854,1.761,0.19843
141,117676644,pose_RIGHT_FOOT_INDEX,-0.03433,1.76463,0.05806
142,117676778,pose_LEFT_SHOULDER,0.0735,0.42114,-0.06819
142,117676778,pose_RIGHT_SHOULDER,-0.07992,0.43776,-0.22652
142,117676778,pose_LEFT_ELBOW,0.22661,0.55231,-0.0608
142,117676778,pose_RIGHT_ELBOW,0.02495,0.62392,-0.22935
142,117676778,pose_LEFT_WRIST,0.44009,0.611,-0.15378
142,117676778,pose_RIGHT_WRIST,0.15456,0.68701,-0.20483
142,117676778,pose_LEFT_PINKY,0.50725,0.61823,-0.16568
142,117676778,pose_RIGHT_PINKY,0.1896,0.73217,-0.21877
142,117676778,pose_LEFT_INDEX,0.51301,0.61765,-0.22897
