frame_number,timestamp_ms,landmark_name,visible,x,y,z
20,666,pose_LEFT_SHOULDER,0.99908,0.42656,0.33119,0.17751
20,666,pose_RIGHT_SHOULDER,0.99991,0.40501,0.32309,-0.11642
20,666,pose_LEFT_ELBOW,0.24459,0.44478,0.45064,0.22451
20,666,pose_RIGHT_ELBOW,0.98923,0.4112,0.43753,-0.22835
20,666,pose_LEFT_WRIST,0.42576,0.45435,0.50985,0.16386
20,666,pose_RIGHT_WRIST,0.97471,0.46014,0.40963,-0.29915
20,666,pose_LEFT_PINKY,0.43166,0.47143,0.53578,0.16012
20,666,pose_RIGHT_PINKY,0.95496,0.46844,0.40683,-0.33318
20,666,pose_LEFT_INDEX,0.44982,0.47246,0.5262,0.13654
20,666,pose_RIGHT_INDEX,0.95319,0.46873,0.39807,-0.32288
20,666,pose_LEFT_THUMB,0.43812,0.46825,0.51594,0.15077
20,666,pose_RIGHT_THUMB,0.9196,0.46471,0.39741,-0.29438
20,666,pose_LEFT_HIP,0.99918,0.44812,0.55824,0.09204
20,666,pose_RIGHT_HIP,0.99868,0.42811,0.5542,-0.092
20,666,pose_LEFT_KNEE,0.90188,0.46794,0.70195,0.02443
20,666,pose_RIGHT_KNEE,0.98977,0.42868,0.70108,-0.13479
20,666,pose_LEFT_ANKLE,0.96555,0.46274,0.85953,0.05033
20,666,pose_RIGHT_ANKLE,0.98841,0.3554,0.84409,-0.06642
20,666,pose_LEFT_HEEL,0.94511,0.45281,0.89433,0.0471
20,666,pose_RIGHT_HEEL,0.90659,0.34141,0.84377,-0.06259
20,666,pose_LEFT_FOOT_INDEX,0.97217,0.50324,0.89222,-0.01557
20,666,pose_RIGHT_FOOT_INDEX,0.98508,0.36951,0.90115,-0.14027
22,733,pose_LEFT_SHOULDER,0.99905,0.43589,0.332,0.16121
22,733,pose_RIGHT_SHOULDER,0.99992,0.41044,0.32341,-0.17697
22,733,pose_LEFT_ELBOW,0.20763,0.45742,0.46419,0.20752
22,733,pose_RIGHT_ELBOW,0.98881,0.42249,0.44098,-0.30368
22,733,pose_LEFT_WRIST,0.36764,0.49022,0.55418,0.17415
22,733,pose_RIGHT_WRIST,0.97564,0.47114,0.41363,-0.40419
22,733,pose_LEFT_PINKY,0.37763,0.50227,0.58261,0.179
22,733,pose_RIGHT_PINKY,0.95805,0.4794,0.40983,-0.44282
22,733,pose_LEFT_INDEX,0.39408,0.49076,0.58681,0.15317
22,733,pose_RIGHT_INDEX,0.9562,0.47972,0.39851,-0.42814
22,733,pose_LEFT_THUMB,0.38613,0.49607,0.56905,0.16166
22,733,pose_RIGHT_THUMB,0.92281,0.47502,0.39867,-0.39835
22,733,pose_LEFT_HIP,0.99927,0.46216,0.55752,0.10073
22,733,pose_RIGHT_HIP,0.99882,0.44015,0.55482,-0.10078
22,733,pose_LEFT_KNEE,0.86357,0.47789,0.71077,0.0831
22,733,pose_RIGHT_KNEE,0.98941,0.47453,0.71469,-0.13906
22,733,pose_LEFT_ANKLE,0.95721,0.46529,0.86134,0.17214
22,733,pose_RIGHT_ANKLE,0.98555,0.39354,0.8108,0.04024
22,733,pose_LEFT_HEEL,0.93668,0.45538,0.89476,0.17677
22,733,pose_RIGHT_HEEL,0.90844,0.37993,0.80318,0.05829
22,733,pose_LEFT_FOOT_INDEX,0.96727,0.50443,0.89502,0.12881
22,733,pose_RIGHT_FOOT_INDEX,0.98213,0.38885,0.87743,0.03316
24,800,pose_LEFT_SHOULDER,0.99906,0.43401,0.32978,0.18317
24,800,pose_RIGHT_SHOULDER,0.99993,0.41585,0.32076,-0.13634
24,800,pose_LEFT_ELBOW,0.17227,0.44083,0.45767,0.20195
24,800,pose_RIGHT_ELBOW,0.98903,0.4311,0.43565,-0.21242
24,800,pose_LEFT_WRIST,0.30597,0.45017,0.53692,0.13068
24,800,pose_RIGHT_WRIST,0.97515,0.47686,0.40304,-0.23001
24,800,pose_LEFT_PINKY,0.31702,0.454,0.56347,0.12702
24,800,pose_RIGHT_PINKY,0.95921,0.48554,0.40092,-0.2556
24,800,pose_LEFT_INDEX,0.33048,0.45605,0.55906,0.11052
24,800,pose_RIGHT_INDEX,0.95721,0.48282,0.38764,-0.23677
24,800,pose_LEFT_THUMB,0.32485,0.45401,0.54877,0.12014
24,800,pose_RIGHT_THUMB,0.92409,0.48013,0.38983,-0.22037
24,800,pose_LEFT_HIP,0.99934,0.46299,0.55379,0.10479
24,800,pose_RIGHT_HIP,0.99892,0.45444,0.55398,-0.1048
24,800,pose_LEFT_KNEE,0.77365,0.50449,0.70782,0.07506
24,800,pose_RIGHT_KNEE,0.98704,0.52763,0.67875,-0.15483
24,800,pose_LEFT_ANKLE,0.91507,0.46635,0.8625,0.14966
24,800,pose_RIGHT_ANKLE,0.97593,0.45343,0.77807,-0.02091
24,800,pose_LEFT_HEEL,0.90459,0.45576,0.89667,0.1536
24,800,pose_RIGHT_HEEL,0.90371,0.43507,0.77609,-0.00337
24,800,pose_LEFT_FOOT_INDEX,0.94356,0.50447,0.8955,0.11935
24,800,pose_RIGHT_FOOT_INDEX,0.97511,0.45522,0.85057,-0.00969
26,866,pose_LEFT_SHOULDER,0.99918,0.42843,0.32593,0.16978
26,866,pose_RIGHT_SHOULDER,0.99994,0.4202,0.31389,-0.07961
26,866,pose_LEFT_ELBOW,0.14783,0.43196,0.4307,0.17921
